item_code,quantity,cost_price,description
2216,44,0.50,SAMPLES
12480,35,23.00,SELECT GREY MARKER: 3-0X1-0X0-2 POL TOP/ SAWN SIDES
14507,32,42.00,"LIGHT GREY MARKER  FOR BRONZE PLAQUES: 2-4X1-6X0-4 PT SS W/ FOUR 1"" dia. Thru holes as per template"
2035,30,5.00,REPLICA
6615,27,22.00,SELECT GREY VASE: 0-4 DIA. X 0-10 ALL POL TURNED
15100,22,35.00,ROYAL PINK MARKER: 2-0X1-0X0-4 PT/ SS
1894,20,38.00,"BLACK MARKER: 2-0X1-0X0-4 PT SS ( ¼ "" TOLERANCE)"
6341,20,46.00,"DELUXE GREY MARKER FOR BRONZE PLAQUES: 2-4X1-6X0-4 PT SS W/ FOUR 1"" dia. Thru Holes as per template"
7700,19,30.00,SELECT GREY VASE: 0-5 DIA X 0-9 ALL POLISHED TURNED (WITH CORE HOLE AND DRAIN HOLE)
2772,16,3.40,"G654 PAVING BLOCKS: 1-6X1-6X0-1 5/8"" FLAMED TOP, BALANCE SAWN"
2844,16,5.00,replica
6862,15,6.50,"BLACK DESK NAME PLATES: 1-1X0-2 1/4X0-2 1/4 ALL POL W/ 3/8"" TOP & BOTTOM NOSE (AS PER SKETCH)"
7067,15,38.00,BLACK VASE: 0-4 DIA. X 0-10 ALL POL TURNED WITH COREHOLE & SIDE DRAINHOLE
4741,14,49.00,STRAWBERRY RED MARKER: 2-0X1-0X0-4 PT SS
1085,13,224.00,BLACK DIE: 1-10X0-8X2-6 POL5 SERP TOP
6859,13,46.00,"LIGHT GREY MARKER FOR BRONZE PLAQUES: 2-4X1-4X0-4 PT SS W/ FOUR 1"" dia. Thru holes & ONE 6""  VASEHOLE as per template"
1055,12,196.00,BLACK DIE: 1-8X0-8X2-6 POL5 SERP TOP
1965,12,5.00,BLACK NAMEPLATES: 1-1X0-2.5X0-2.5 ALL POL (AS PER SKETCH)
9912,12,15.00,"BLACK OVAL INSERT: 0-7X0-10 POL TOP BAL SMOOTH 3/8"" THICK PER TEMPLATE"
11987,12,59.00,"STRAWBERRY RED MARKER: 2-0X1-2X0-4 POL TOP,  BALANCE SAWN"
2561,11,54.50,DELUXE GREY  BASE: 2-0X1-0X0-8 PT BRP
4851,11,72.00,SELECT GREY HICKEY: 2-4X1-4X0-6/0-4 PT BRP WITH 4  DRILL HOLES (AS PER SKETCH)
13608,11,56.00,"LIGHT GREY MARKER  FOR BRONZE PLAQUES: 2-4X1-6X0-4 PT SS W/ FOUR 1"" dia. Thru holes as per template"
1697,10,174.00,BLACK SLANT: 2-0X1-0X1-6 POL 2 (FACE&TOP POL) SERP TOP SAWN BACK BRP
1908,10,46.00,INDIA RED MARKER: 2-0X1-0X0-4 PT SS
3170,10,135.00,SELECT GREY DIE: 1-10X0-8X2-4 POL 5 SERP TOP
10641,10,20.50,SELECT GREY VASE: 0-4 DIA. X 0-9 ALL POL TURNED
1270,9,91.00,BLACK BASE: 2-4X1-0X0-8 PT SAWN BACK BRP
11104,9,28.00,SELECT GREY MARKER: 2-0X1-2X0-4 PT/BRP
11300,9,109.50,"DELUXE GREY SLANT: 2-0X0-10X1-6 POL 2 SERP(FACE & TOP POL) 2"" TOP NOSE, 3"" RP BOTTOM NOSE BACKSAWN & TWO SIDES ROCK PITCH"
12782,9,128.10,"DELUXE GREY SLANT: 2-0X1-0X1-6 POL 1 SERP TOP ( POLISHED FACE/ 2"" TOP 3"" BOTTOM ROCK PITCH NOSE/ ROCK PITCH ENDS/ SMOOTH BACK"
14511,9,46.00,"LIGHT GREY MARKER  FOR BRONZE PLAQUES: 2-4X1-8X0-4 PT SS W/ FOUR 1"" dia. Thru holes as per template"
14953,9,50.00,"MOZART RUBY MARKER FOR BRONZE PLAQUES: 2-4X1-6X0-4 PT SS W/ four 1"" dia. Thru holes as per template"
2774,8,6.00,"G654 PAVING BLOCKS: 2-0X2-0X0-1 5/8"" FLAMED TOP, BALANCE SAWN"
2786,8,55.00,DELUXE GREY BASE: 2-4X1-0X0-8 PT SB BRP
3103,8,98.00,"BLACK BASE: 2-0X1-0X0-8 PT BRP 2"" POL MARGIN"
3197,8,111.50,SELECT GREY BASE: 3-6X1-2X0-8 PT SB BRP
3618,8,114.00,SELECT GREY DIE: 1-8X0-8X2-4 POL2 (FRONT/BACK) SERP TOP BRP
5212,8,89.00,DELUXE GREY DIE: 1-8X0-8X2-6 POL2 (FRONT&BACK) BRP SERP TOP
5749,8,48.00,"LIGHT GREY MARKER  FOR BRONZE PLAQUES: 2-4X1-6X0-4 PT SS w/ four 1"" dia. Thru drill holes & 6"" dia Vasehole as per template"
6362,8,52.00,DELUXE GREY BASE: 2-0X1-0X0-8 PT/ SB/ BRP
15101,8,37.00,ROYAL PINK MARKER: 2-0X1-0X0-4 PT/ BRP
1049,7,150.00,"BLACK DIE: 1-8X0-8X2-0 POL 5 SERP TOP (¼"" TOLERANCE)"
1080,7,209.00,BLACK DIE: 1-10X0-8X2-4 POL5 SERP TOP
1252,7,72.00,BLACK BASE: 2-0X1-0X0-6 PT BRP
1694,7,175.00,"BLACK SLANT:  2-0X1-0X1-6 ALL POL  FLAT TOP 2"" TOP & 3"" BOTTOM NOSE"
1895,7,38.00,BLACK MARKER: 2-0X1-0X0-4 PT BRP
2471,7,134.00,DELUXE GREY DIE: 1-10X0-8X2-6 POL 2 SERP TOP
2785,7,104.00,DELUXE GREY DIE: 1-8X0-8X2-6 POL5 SERP TOP
9983,7,28.00,BLACK VASE: 0-3 DIA X 0-9 ALL POLISHED STANDARD TURNED
10290,7,40.00,"CHARCOAL GREY GRASS MARKER: 2-0X1-0X0-4 POL TOP, BALANCE ROCK PITCH"
11089,7,58.00,STRAWBERRY RED MARKER: 2-0X1-0X0-4 PT BRP
11308,7,63.00,DELUXE GREY BASE: 3-0X1-0X0-8 PT BRP
11788,7,27.20,DELUXE GREY MARKER: 2-0X1-0X0-4 PT BRP
13636,7,106.00,"DELUXE GREY SLANT: 2-0X0-10X1-6 POL 1 (FACE POL)  SERP TOP ( 2"" TOP 3"" BOTTOM NOSE & ENDS ROCK PITCH) SAWN BACK"
1014,6,78.00,BLACK BASE: 2-0X1-0X0-8 PT SB BRP
1053,6,170.00,BLACK DIE: 1-8X0-8X2-2 POL 5 SERP TOP
1057,6,210.00,"BLACK DIE: 1-8X0-8X2-8 POL 5 SERP TOP (¼"" TOLERANCE)"
2905,6,41.00,SELECT GREY BASE: 2-0X1-0X0-6 PT BRP
9468,6,91.00,"SELECT GREY SLANT: 2-0X0-10X1-4 POL3 (TOP,FACE,BACK POL) SERP TOP, 2"" TOP NOSE, ROCK PITCH ENDS & 3"" BOTTOM NOSE RP"
9631,6,40.00,"CHARCOAL GREY GRASS MARKER: 2-0X1-0X0-4 POL TOP, BALANCE SAWN"
11298,6,26.00,"DELUXE GREY MARKER: 2-0X1-0X0-4 POL TOP, BALANCE SAWN"
11309,6,123.00,DELUXE GREY DIE: 1-8X0-8X2-4 POL 5 SERP TOP
13630,6,72.00,DELUXE GREY BEVEL MARKER (HICKEY): 2-4X1-4X0-4/0-6  PT BRP WITH 4 DRILL- HOLES PER TEMPLATE
13662,6,122.00,DELUXE GREY DIE: 1-8X0-8X2-4 POL2 BRP SERP TOP
15056,6,49.00,"LIGHT GREY MARKER  FOR BRONZE PLAQUES: 2-4X1-8X0-4 PT SS W/ FOUR 1"" dia. thru holes and one 6"" vasehole as per template"
1054,5,183.00,BLACK DIE: 1-8X0-8X2-4 POL 5 SERP TOP
1064,5,235.00,BLACK DIE: 1-8X0-8X3-0 POL 5 SERP TOP
5005,5,48.00,"G664 PINK MARKER FOR BRONZE PLAQUES: 2-4X1-6X0-4 PT SS W/ 6"" VASE HOLE & FOUR 1""  dia Thru holes"
5092,5,44.00,AURORA MARKER: 2-0X1-0X0-4 PT SS
10172,5,200.00,INDIA MIST DIE: 1-10X0-8X2-4 POL 5 SERP TOP
11475,5,28.00,RED-MULTI GRASS MARKER: 2-0X1-0X0-4 PT SS
11582,5,196.00,"STRAWBERRY RED DIE: 1-8X0-8X2-0 POL 5 SERP TOP (¼"" TOLERANCE)"
11984,5,33.20,DELUXE GREY BASE: 2-0X1-0X0-6 PT/ BRP
12702,5,80.00,STRAWBERRY RED BASE: 2-0X1-0X0-6 PT BRP
12833,5,76.00,"CHINA BARRY HICKEY: 2-0X1-0X1-0/ 0-10 SAWN TOP/ SAWN 1 4/3"" MARGIN/ ROCK PITCH BACK / BRP ( AS PER SKETCH)"
13123,5,48.00,"LIGHT GREY MARKER  FOR BRONZE PLAQUES: 2-4X1-4X0-4 PT SIDES SAWN W/ FOUR 1"" dia. Thru holes as per template"
13655,5,45.00,DELUXE GREY HICKEY 2-0X1-0X0-6/0-4 PT BRP
14064,5,57.00,BLACK MARKER: 3-0X1-0X0-4 PT/SS
14510,5,43.00,"REGAL PINK MARKER FOR BRONZE PLAQUES: 2-4X1-8X0-4 PT SS W/ four 1"" dia. Thru holes as per template"
15331,5,9.25,"DELUXE GREY MARKER: 1-4X0-8X0-4 PT, BALANCE SAWN"
1015,4,78.00,BLACK BASE: 2-0X1-0X0-8 PT BRP
1087,4,187.00,BLACK DIE: 1-10X0-8X2-6 POL2 SERP TOP
1088,4,298.00,BLACK DIE: 1-10X0-8X2-6 ALL POL STACKED HEART
1323,4,148.00,BLACK BASE: 4-0X1-0X0-8 PT BRP
1324,4,180.00,"BLACK BASE: 4-0X1-0X0-8 PT BRP  2"" POL MARGIN"
1499,4,61.00,"INDIA RED BASE: 2-0X0-10X0-8 PT SB BRP (¼"" TOLERANCE)"
1695,4,189.00,"BLACK SLANT: 2-0X1-0X1-6 POL2 FLAT TOP (POLISHED 2"" TOP NOSE AND FACE/ 3"" ROCK PITCH FRONT NOSE AND ENDS/ SAWN BACK)"
1696,4,174.00,"BLACK SLANT: 2-0X1-0X1-6 ALL POL SERP TOP (2"" TOP 3""BOTTOM NOSE)"
1896,4,40.00,BLACK MARKER: 2-0X1-2X0-4 PT SS
1900,4,38.00,BLUE MARKER: 2-0X1-0X0-4 PT SS
2206,4,65.00,EVERGREEN MARKER: 2-0X1-0X0-4 PT SS
2378,4,51.00,IMPERIAL PINK MARKER: 2-0X1-0X0-4 PT SS
3081,4,63.50,DELUXE GREY BASE: 2-4X1-0X0-8 PT BRP
3177,4,187.00,SELECT GREY DIE: 2-8X0-8X2-4 POL 5 SERP TOP
3265,4,260.00,"STRAWBERRY RED DIE: 1-8X0-8X2-8 POL5 SERP TOP (¼"" TOLERANCE)"
3285,4,39.00,DELUXE GREY BASE: 2-0X1-0X0-6 PT SB BRP
3441,4,128.00,SELECT GREY DIE: 1-10X0-8X2-6 POL2 BRP SERP TOP
3457,4,221.00,SELECT GREY DIE: 3-0X0-8X2-6 POL5 SERP TOP
4104,4,72.50,DELUXE GREY BASE: 2-6X1-0X0-8 PT/ BRP
4638,4,324.00,STRAWBERRY RED DIE: 3-0X0-8X2-0 POL 5 SERP TOP
5681,4,30.00,IMPERIAL PINK VASE: 0-4X0-10 ALL POLISHED TURNED (STANDARD)
6571,4,41.00,INDIA RED MARKER: 2-0X1-0X0-4 PT BRP
7423,4,173.00,DELUXE GREY DIE: 2-0X0-8X2-9 POL5  SERP TOP
8396,4,86.00,GREY BASE: 2-4X1-2X0-8 ALL POLISHED
8411,4,7.00,"BLACK MINI MONUMENTS: DIE: 0-5""X0-3/4""X0-7"" ALL POL SERP / BASE: 0-7""X0-1 1/2"" X0-3/4"" PT/BRP"
8489,4,125.00,SELECT GREY BENCH: SEAT 4-0X1-2X0-4 POL 5  STRAIGHT TOP WITH DOWEL HOLES  W/ 1-0X0-4X1-2 ALL POLISHED HARP SHAPE LEGS (AS PER TEMPLATE)
9447,4,132.00,DELUXE GREY DIE: 1-8X0-8X2-6 POL 5 SERP TOP
9938,4,75.00,BLACK MARKER: 2-4X1-6X0-4 PT/ SS  WITH 4 DRILL HOLES (AS PER TEMPLATE)
11119,4,154.00,STRAWBERRY RED BASE: 3-6X1-0X0-8 PT/ BRP
11583,4,84.00,"STRAWBERRY RED BASE: 2-0X0-10X0-8 PT SB BRP (¼"" TOLERANCE)"
12617,4,189.00,CHARCOAL GREY DIE: 1-10X0-8X2-6 POL 2 SERP TOP (POLISHED FRONT AND BACK / ROCK PITCH TO AND ENDS)
